Primary_id,Primary_type,Title,Author,Edition,Collection,Notes,Volumes,Fulltext_Read,Fulltext_Search,Fulltext_Download,Image,OpenAccess,year_start,year_end,URL,Call number,Hollis
HYLRarebooks_11,HYLRarebooks,崇禎紀元後四[i.e. 五]庚午式司馬榜目.,,"時間:庚午 (1870),地點:漢城 ,出版者:芸閣",朝鮮漢籍,芸閣藏板.,"6, 20, 25, 9 double |. ;$$c35 cm.",n,n,n,y,y,1870.0,1870.0,http://nrs.harvard.edu/urn-3:FHCL:11229321,TK/2291.7/1746/(1870),4147474
HYLRarebooks_12,HYLRarebooks,淳昌薛氏登官錄.,,"時間:1825?,地點:S.l. ,出版者:s.n.",朝鮮漢籍,"At end: 萬曆庚戌七月[ ]日開刊, 道光五年乙酉[1825]二月[ ]日謄書 .;; Manuscript.",[26] double leaves ;$$c31.5 cm.,n,n,n,y,y,1825.0,1825.0,http://nrs.harvard.edu/urn-3:FHCL:3374602,TK/2290.5/4736,4165289
HYLRarebooks_13,HYLRarebooks,隆慶元年丁卯式年 :[文武科榜目].,,"時間:1567?,地點:S.l. ,出版者:s.n.",朝鮮漢籍,Cover title: 隆慶丁卯榜目.,[7] double leaves ;$$c33 cm.,n,n,n,y,y,1567.0,1567.0,http://nrs.harvard.edu/urn-3:FHCL:1196275,TK/2291.7/1748/(1567),4182708
HYLRarebooks_14,HYLRarebooks,鈍筆隨錄 :[正宗丁未(1787-辛亥(1851) ,柳榮河著.,"時間:18--,地點:S.l. ,出版者:s.n.",朝鮮漢籍,Cover title: 山天錄・甫山公日記.,[48] double leaves ;$$c23 cm.,n,n,n,y,y,,,http://nrs.harvard.edu/urn-3:FHCL:1202078,TK/2294.57/4293,4297851
HYLRarebooks_15,HYLRarebooks,皇壇追亨事實.,,"時間:1739.,地點:漢城 ,出版者:s.n.",朝鮮漢籍,"崇禎後再己末跋.;; Records of the enshrinement of the Ming dyasty kings太祖, 神宗 and 毅宗, in 1749, in the 大報壇.;; Includes 皇壇事實.",[85] double leaves ;$$c34 cm.,n,n,n,y,y,1739.0,1739.0,http://nrs.harvard.edu/urn-3:FHCL:1184542,TK/1784/2141.1,4323073
HYLRarebooks_16,HYLRarebooks,東國史略 ,林泰輔著; 玄采譯述.,"時間:1906.,地點:京城 ,出版者:普成舘",朝鮮漢籍,"4卷.;; 新鉛活字本.;; 25.5 × 17.9 cm.;; ""光武 10 [1906].""",4 v. in 1 ;$$c26 cm.,n,n,n,y,y,1906.0,1906.0,http://nrs.harvard.edu/urn-3:FHCL:11326184,TK/3482/0320,4323082
HYLRarebooks_17,HYLRarebooks,考亭封事 ,[朱熹@CBDB@3257]撰.,"時間:11--,地點:S.l. ,出版者:s.n.",朝鮮漢籍,,43 double leaves ;$$c32 cm.,n,n,n,y,y,,,http://nrs.harvard.edu/urn-3:FHCL:1264043,TK/2679/2946,4328899
HYLRarebooks_18,HYLRarebooks,"說文廣義校訂 :三卷, 末一卷 ",吴善述撰.,"時間:同治13 (1874)?,地點:衢城 ,出版者:張文錦齋",經部，史部,"十行二十字, 左右雙邊, 線黑口, 單魚尾. 框高19.4 x 13.7公分.",4 v. in 1 case.,n,n,n,y,y,1874.0,1874.0,http://nrs.harvard.edu/urn-3:FHCL:4310414,T/5098/1153.2,4374794
HYLRarebooks_19,HYLRarebooks,洪武正韻彙編 :[4卷] ,周家棟輯.,"時間:明萬曆, between 1573 and 1619,地點:China ,出版者:s.n.",經部，史部,明刊本.,4 v. in 1 case.,n,n,n,y,y,1573.0,1619.0,http://nrs.harvard.edu/urn-3:FHCL:3965439,T/5127/7234,4386382
HYLRarebooks_20,HYLRarebooks,甲卯錄 ,趙鼎夏編.,"時間:,地點:China ,出版者:",朝鮮漢籍,"Collection of memorials to the throne from confucian scholars recommending dismissal of 曹錫雨, the suppression of 西州集, and the collected work s of 曹夏望.",[47] double ℓ ;$$c28 cm.,n,n,n,y,y,,,http://nrs.harvard.edu/urn-3:FHCL:1255389,TK/3487.78/5681,4386439
HYLRarebooks_21,HYLRarebooks,湖南儒生李泰宇等疏本 ,李泰宇等著.,"時間:,地點:China ,出版者:",朝鮮漢籍,,[18] double leaves ;$$c26 cm.,n,n,n,y,y,,,http://nrs.harvard.edu/urn-3:FHCL:1255390,TK/3487.8/4453,4386444
HYLRarebooks_22,HYLRarebooks,泰安郡誌例新選 ,泰安郡編.,"時間:光武5 (1901),地點:S.l. ,出版者:s.n.",朝鮮漢籍,At head of title: 光武五年辛丑三月[ ]日.,[10] double leaves ;$$c36 cm.,n,n,n,y,y,1901.0,1901.0,http://nrs.harvard.edu/urn-3:FHCL:1258379,TK/3492.7/5412,4398407
HYLRarebooks_23,HYLRarebooks,類音 :八卷 ,[潘耒@CBDB@33903]撰.,"時間:清康熙間i.e. between 1662 and 1722,地點:吳江 ,出版者:潘氏遂初堂",經部，史部,"十一行二十二字, 左右雙邊, 白口, 單魚尾. 版心下有刻工. 框高20.7 x 14.5公分.;; 扉頁刻: ""類音. 潘稼堂太史著. 遂初堂藏板"".;; 鈐印有: ""古瀛洲施氏杏雨樓珍藏"", ""榖士"".",4 v. in 1 case.,n,n,n,y,y,1662.0,1722.0,http://nrs.harvard.edu/urn-3:FHCL:4322255,T/5128/3659,4402818
HYLRarebooks_24,HYLRarebooks,廈門音新字典 =A dictionary of the Amoy vernacular ,甘為霖編 .,"時間:1924.,地點:Shanghai ,出版者:Presbyterian Mission Press",基督教傳教士文獻,,1025 p. ;$$c20 cm.,n,n,n,y,y,1924.0,1924.0,http://nrs.harvard.edu/urn-3:FHCL:32072409,TA/5156/4721,4420921
HYLRarebooks_25,HYLRarebooks,楊根所在田案 ,楊根郡編.,"時間:,地點:Shanghai ,出版者:",朝鮮漢籍,"At head of title: 道光二十四年七月.;; 楊根, i.e. 楊平.",[6] double leaves ;$$c43 cm.,n,n,n,y,y,,,http://nrs.harvard.edu/urn-3:FHCL:3351191,TK/4411/3491.7$$mFOLIO,4482326
HYLRarebooks_26,HYLRarebooks,廣州草阜面田案 ,廣州府編.,"時間:道光26 (1846),地點:廣州 ,出版者:s.n.",朝鮮漢籍,At head of title: 道光二十六年丙午十月.,[12] double leaves ;$$c43 cm.,n,n,n,y,y,1846.0,1846.0,http://nrs.harvard.edu/urn-3:FHCL:3351192,TK/4411/3491.71$$mFOLIO,4482327
HYLRarebooks_27,HYLRarebooks,各穀去来册.,,"時間:明治44 i.e. 1911,地點:S.l. ,出版者:s.n.",朝鮮漢籍,Caption title: 辛亥十月米租太去来記旧錄並付.;; Manuscript.;; 筆寫本.;; 洋裝改裝.,[10] double leaves ;$$c20 x 25 cm.,n,n,n,y,y,1911.0,1911.0,http://nrs.harvard.edu/urn-3:FHCL:3717554,TK/4555/7445,4505311
HYLRarebooks_28,HYLRarebooks,佩文韻府 :[106卷] ,[張玉書@CBDB@64173]等奉敕纂修. 韻府拾遺 : 106卷 / 汪灝等奉敕纂修.,"時間:康熙50-59 1711-1720,地點:China ,出版者:s.n.",子部,"內府刊初印本.;; 有「梁溪秦王齋藏書印」章記.;; 著錄: 內閣文庫, 四庫標注, 清殿版目.",160 v.,n,n,n,y,y,1711.0,1720.0,http://nrs.harvard.edu/urn-3:FHCL:26487948,T/5175/1315c,4545015
HYLRarebooks_29,HYLRarebooks,電報章程.,,"時間:光武6 i.e. 1902,地點:漢城 ,出版者:電務學堂",朝鮮漢籍,Manuscript.;; On cover: 光武六年壬寅三月二十四日.;; Includes 通信院官制改正件.,[39] double leaves ;$$c20 cm.,n,n,n,y,y,1902.0,1902.0,http://nrs.harvard.edu/urn-3:FHCL:1267738,TK/4525/1748,4568859
HYLRarebooks_30,HYLRarebooks,國家思想學 ,"鄭寅琥譯述; 張世基, 李載乾校閱.","時間:隆熙2 (1908),地點:皇城 ,出版者:右文館",朝鮮漢籍,Cover title.,"2, 4, 2, 24 p. ;$$c22 cm.",n,n,n,y,y,1908.0,1908.0,http://nrs.harvard.edu/urn-3:FHCL:11313441,TK/4609/8231,4574360
HYLRarebooks_31,HYLRarebooks,甲[kye]帖 ,安璥編; 安在默重修.,"時間:1851.,地點:l. ,出版者:.",朝鮮漢籍,"Cover title: 芹田先生甲契帖.;; Imprint date from afterword: 崇禎紀元后二百二十七年丙午, 跋.",[32] double leaves ;$$c34 cm.,n,n,n,y,y,1851.0,1851.0,http://nrs.harvard.edu/urn-3:FHCL:1267739,TK/4479.1/3414,4605213
HYLRarebooks_32,HYLRarebooks,光山世稿續編 :2卷.,"卓順昌,$$dactive 1592.$$t松庵逸詩.","時間:ca. 1889,地點:Korea ,出版者:s.n.",朝鮮漢籍,,"7, 37, 22, 2 double □. ;$$c32 cm.",n,n,n,y,y,1889.0,1889.0,http://nrs.harvard.edu/urn-3:FHCL:4634504,TK/5568.2/2494/(2),4629744
HYLRarebooks_33,HYLRarebooks,"朱氏家乘 :[36卷, 卷首1卷, 卷末1卷] ",朱彝 ... et al. 編纂,"時間:1906?,地點:China ,出版者:s.n.",經史子集叢部特大尺寸,Latest preface dated: 1906.,"10 v. :$$bill., geneal. tables, ports. ;$$c37 cm.",n,n,n,y,y,1906.0,1906.0,http://nrs.harvard.edu/urn-3:FHCL:29074788,T/2252.8/1229,4634476
HYLRarebooks_34,HYLRarebooks,館閣文字 ,鄭元容 ... et al. 撰.,"時間:187- ,地點:Korea ,出版者:s.n.",朝鮮漢籍,Collection of 上樑文 and 王丹文 in the royal house builings.,[61] (double leaves) in case. ;$$c25 cm.,n,n,n,y,y,,,http://nrs.harvard.edu/urn-3:FHCL:2709621,TK/5568.9/8213,4634898
HYLRarebooks_35,HYLRarebooks,張香都朱氏支譜 :[32卷 : 卷首1卷 : 卷末1卷] ,[朱珔@CBDB@66036]纂修.,"時間:道光5 (1825),地點:China ,出版者:s.n.",經史子集叢部特大尺寸,,8 v.,n,n,n,y,y,1825.0,1825.0,http://nrs.harvard.edu/urn-3:FHCL:29075731,T/2252.8/1242,4643362
HYLRarebooks_36,HYLRarebooks,吳江金氏家譜 :[6卷] ,[金學詩@CBDB@83088]纂.,"時間:嘉慶21 (1816),地點:China ,出版者:s.n.",經部，史部,,1 v.,n,n,n,y,y,1816.0,1816.0,http://nrs.harvard.edu/urn-3:FHCL:4909747,T/2252.8/2381,4643367
HYLRarebooks_37,HYLRarebooks,"洞庭秦氏宗譜 :[5卷, 卷首末各1卷] ","秦敏樹, 秦嘉樂 等編修.","時間:同治12 (1873),地點:China ,出版者:秦氏詠烈堂",經部，史部,,16 v.,n,n,n,y,y,1873.0,1873.0,http://nrs.harvard.edu/urn-3:FHCL:4911142,T/2252.8/3059,4643368
HYLRarebooks_38,HYLRarebooks,講官論 ,崔漢綺編.,"時間:1877?,地點:漢城 ,出版者:崔柄大",朝鮮漢籍,"4卷.;; Imprint: 丁丑, 活印.",[76] double type (wooden) ;$$c31 cm.,n,n,n,y,y,1877.0,1877.0,http://nrs.harvard.edu/urn-3:FHCL:8963883,TK/4947/2132,4666002
HYLRarebooks_39,HYLRarebooks,豔夢漫釋 ,"守實註釋; 儻山主人参校; 璜谿, 舊漁參訂.","時間:1850?,地點:Korea ,出版者:s.n.",朝鮮漢籍,"西厢記의語錄解이다.;; 2卷.;; Imprint date from preface: 庚戍, 序.",[47] double leaves ;$$c29 cm.,n,n,n,y,y,1850.0,1850.0,http://nrs.harvard.edu/urn-3:FHCL:1386368,TK/5668/1135,4670210
HYLRarebooks_40,HYLRarebooks,海虞翁氏族譜 :[不分卷] ,[翁同龢@CBDB@54104]補輯.,"時間:同治13 (1874),地點:China ,出版者:s.n.",經部，史部,Date from postscript.;; Running title.,"[20], 65, 2 l. :$$bgeneal. tables ;$$c30 cm.",n,n,n,y,y,1874.0,1874.0,http://nrs.harvard.edu/urn-3:FHCL:4911158,T/2252.8/3282,4677486
HYLRarebooks_41,HYLRarebooks,淄川畢氏世譜 :不分卷 ,畢岱熞 等纂修.,"時間:嘉慶12 (1807),地點:China ,出版者:淄川畢氏",經部，史部,"1807修, block print.",2 v.,n,n,n,y,y,1807.0,1807.0,http://nrs.harvard.edu/urn-3:FHCL:4911159,T/2252.8/3265,4677672
HYLRarebooks_42,HYLRarebooks,[潤州大沙]韓氏宗譜 :[2卷] ,韓有和主修 ; 譚錦珩修輯.,"時間:同治戊辰 (1868),地點:China ,出版者:廣德堂",經部，史部,,2 v. :$$bports. ;$$c30 cm.,n,n,n,y,y,1868.0,1868.0,http://nrs.harvard.edu/urn-3:FHCL:4930281,T/2252.8/3345,4677686
HYLRarebooks_43,HYLRarebooks,"南海九江朱氏家譜 :[12卷, 卷首4卷] ",朱宗琦 等編纂.,"時間:同治8 (1869),地點:China ,出版者:s.n.",經部，史部,Latest preface dated: 1869,"12 v. :$$bill., geneal. tables ;$$c29 cm.",n,n,n,y,y,1869.0,1869.0,http://nrs.harvard.edu/urn-3:FHCL:4930225,T/2252.8/4329,4682716
HYLRarebooks_44,HYLRarebooks,"湘陰郭氏家譜 :[存卷7至9, 卷首1卷] ",[郭嵩燾@CBDB@61438]編.,"時間:咸豐7 (1857),地點:China ,出版者:郭氏儲芳堂",經部，史部,,1 v.,n,n,n,y,y,1857.0,1857.0,http://nrs.harvard.edu/urn-3:FHCL:4930237,T/2252.8/3702,4683028
HYLRarebooks_45,HYLRarebooks,黄氏家乘 :[22卷] ,黄漢榮輯.,"時間:同治9 (1870),地點:China ,出版者:務本堂",經部，史部,,22 v.,n,n,n,y,y,1870.0,1870.0,http://nrs.harvard.edu/urn-3:FHCL:5086456,T/2252.8/4732,4688677
HYLRarebooks_46,HYLRarebooks,錢清鍾氏宗譜 :[6卷 ,鍾葆淳 ... et al. 編纂,"時間:咸豐丁巳(1857),地點:China ,出版者:承啟堂",經部，史部,Running title.;; Mounted case title: 蕭山錢清鍾氏宗譜.,8 v. :$$bgeneal. tables ;$$c28 cm.,n,n,n,y,y,1857.0,1857.0,http://nrs.harvard.edu/urn-3:FHCL:4930762,T/2252.8/8381,4704737
HYLRarebooks_47,HYLRarebooks,朱文公校昌黎先生集,[韓愈@CBDB@3332]撰.,"時間:18--?,地點:Korea ,出版者:s.n.",朝鮮漢籍,Cover title: 昌黎文.;; At end: 自甲辰至干丙千冬余僅書古文一卷...;; Selection from the author's writing.,[101] double leaves ;$$c28 cm.,n,n,n,y,y,,,http://nrs.harvard.edu/urn-3:FHCL:1280887,TK/5308/4580.9,4704833
HYLRarebooks_48,HYLRarebooks,蘇東坡集 ,[蘇軾@CBDB@3767]撰; 蘇陰居士筆.,"時間:乙酉 (18--?),地點:Korea ,出版者:s.n.",朝鮮漢籍,On verso of t.p.: 歲乙酉閏五月始書...;; Selection from the author's works.,[35] double leaves ;$$c30 cm.,n,n,n,y,y,,,http://nrs.harvard.edu/urn-3:FHCL:1258380,TK/5345/4953,4704834
HYLRarebooks_49,HYLRarebooks,八旗滿洲氏族通譜 :[80卷] ,鄂爾泰等奉敕撰 ; 呂熾等纂.,"時間:乾隆9 (1744),地點:China ,出版者:武英殿",經部，史部,,24 v.,n,n,n,y,y,1744.0,1744.0,http://nrs.harvard.edu/urn-3:FHCL:4930245,T/2252.8/6095,4704846
HYLRarebooks_50,HYLRarebooks,正紅旗滿洲哈達瓜爾佳氏家譜 :[不分卷] ,恩齡撰.,"時間:道光29 (1849),地點:China ,出版者:武英殿",經部，史部,,8 v.,n,n,n,y,y,1849.0,1849.0,http://nrs.harvard.edu/urn-3:FHCL:4930283,T/2252.8/6323,4704847
HYLRarebooks_51,HYLRarebooks,北山楊氏族譜 :[10卷 ,楊紹榮 ... et al. 編輯,"時間:咸豐7 (1857),地點:China ,出版者:紹經堂",經部，史部,Caption tille: 七修北山楊氏族譜.,10 v. ;$$c28 cm.,n,n,n,y,y,1857.0,1857.0,http://nrs.harvard.edu/urn-3:FHCL:4930770,T/2252.86/1242,4704856
HYLRarebooks_52,HYLRarebooks,大東續樂府 ,朴致馥編.,"時間:18--?,地點:Korea ,出版者:s.n.",朝鮮漢籍,,[31] double l. ;$$c28 cm.,n,n,n,y,y,,,http://nrs.harvard.edu/urn-3:FHCL:8895186,TK/5568.32/4312,4710186
HYLRarebooks_53,HYLRarebooks,連陽八排風土記 :[8卷] ,[李來章@CBDB@77537]撰.,"時間:康熙47 (1708),地點:China ,出版者:連山書院",經部，史部,,3 v.,n,n,n,y,y,1708.0,1708.0,http://nrs.harvard.edu/urn-3:FHCL:4909748,T/2219.4/4440,4727547
HYLRarebooks_54,HYLRarebooks,尚友錄[22卷],"廖用賢編, 張伯琮補輯.","時間:康熙5 (1666)序,地點:China ,出版者:n.p.",子部,古婺正業堂藏板.,12 v. (double leaves) in 2 cases.$$c26 cm.,n,n,n,y,y,1666.0,1666.0,http://nrs.harvard.edu/urn-3:FHCL:27118470,T/2257/0277,4749989
HYLRarebooks_55,HYLRarebooks,黄庭外經 ,雲峯書.,"時間:壬辰(18--?),地點:Korea ,出版者:s.n.",朝鮮漢籍,Cover title: 雲峯書帖.;; Rubbings.,3 fold |. in case. ;$$c21 cm.,n,n,n,y,y,,,http://nrs.harvard.edu/urn-3:FHCL:11313442,TK/6164/1725,4838681
HYLRarebooks_56,HYLRarebooks,新編算學啟蒙 ,朱世傑編撰.,"時間:1660?,地點:全州 ,出版者:s.n.",朝鮮漢籍,"3卷.;; Caption title: 算學啟蒙.;; Imprint: 順治十七年庚子, 重刊, 序.",[77] double leaves ;$$c34 cm.,n,n,n,y,y,1660.0,1660.0,http://nrs.harvard.edu/urn-3:FHCL:10303302,TK/7036/2942b,4859197
HYLRarebooks_57,HYLRarebooks,楊山松契立議 ,俞碩柱 等編.,"時間:崇禎紀元後四甲辰 (1844),地點:Korea ,出版者:s.n.",朝鮮漢籍,"""杞溪俞氏肅敏公「絳」墓地楊山禁伐條項."";; Imprint date from preface : 新序.",[19] double leaves ;$$c37 cm.,n,n,n,y,y,1844.0,1844.0,http://nrs.harvard.edu/urn-3:FHCL:3374613,TK/8163/8235,4874071
HYLRarebooks_58,HYLRarebooks,松禊座目 ,俞初煥等編.,"時間:戊辰 (1868),地點:Korea ,出版者:s.n.",朝鮮漢籍,Caption title: 車山松禁禊帖.,[20] double |. ;$$c43 cm.,n,n,n,y,y,1868.0,1868.0,http://nrs.harvard.edu/urn-3:FHCL:9714662,TK/8163/8235.1,4874072
HYLRarebooks_59,HYLRarebooks,變禮考.,,"時間:18--?,地點:Korea ,出版者:s.n.",朝鮮漢籍,6卷.;; 筆寫本.;; 四周單邊 半郭 22.9 × 15.2 cm.;; 11行28字.;; 無魚尾; 31.5 × 19.9 cm.;; 洋裝改裝.,2 v. in 1 ;$$c32 cm.,n,n,n,y,y,,,http://nrs.harvard.edu/urn-3:FHCL:1655510,TK/668/2404,4893371
HYLRarebooks_60,HYLRarebooks,家禮源流 ,"俞棨, 尹宣擧共編.","時間:哲宗 6 (1855),地點:坡平 ,出版者:尹圭炳",朝鮮漢籍,"Imprint date from afterword: 乙卯 (1855), 跋.;; 18卷, 2卷.;; 木板本.;; 四周雙邊 半郭 21.6 × 15.3 cm.;; 10行20字.;; 上下白魚尾; 31.2 × 19.7 cm.;; 序: 乙未(1775)…[尹]光紹.",10 v. (double leaves) in case ;$$c31 cm.,n,n,n,y,y,1855.0,1855.0,http://nrs.harvard.edu/urn-3:FHCL:9406039,TK/668/2948,4893394
HYLRarebooks_61,HYLRarebooks,三禮儀 ,朴世采.,"時間:壬申 (1812),地點:大邱 ,出版者:嶺營",朝鮮漢籍,"木活字本.;; 四周雙邊 半郭 21.9 × 15.8 cm.;; 10行21字.;; 上2葉花紋魚尾; 34.4 × 22.0 cm.;; ""純祖 12[1812]."";; 洋裝改裝 .;; Imprint: 嶺營重刊.","7, 11, 34, 10 double leaves ;$$c35 cm.",n,n,n,y,y,1812.0,1812.0,http://nrs.harvard.edu/urn-3:FHCL:12233071,TK/668/4342,4893409
HYLRarebooks_62,HYLRarebooks,四禮節要.,,"時間:1890?,地點:Korea ,出版者:s.n.",朝鮮漢籍,,57 doulbe leaves ;$$c36 cm.,n,n,n,y,y,1890.0,1890.0,http://nrs.harvard.edu/urn-3:FHCL:1180816,TK/668/4421,4893415
HYLRarebooks_63,HYLRarebooks,"四禮笏記 :附, 簡牘笏記.",,"時間:1850,地點:Korea ,出版者:s.n.",朝鮮漢籍,木板本.;; 四周雙邊 半郭 15.4 × 10.3 cm.;; 10行20字.;; 上黑魚尾; 20.8 × 12.7 cm.,"1, 1, 23, 15 double leaves ;$$c21 cm.",n,n,n,y,y,1850.0,1850.0,http://nrs.harvard.edu/urn-3:FHCL:11318549,TK/668/6380,4893420
HYLRarebooks_64,HYLRarebooks,疑禮問解 ,金長生撰.,"時間:1703?,地點:Korea ,出版者:s.n.",朝鮮漢籍,"Appendices: 古今喪禮異同議.;; 4卷及續.;; Imprint date from afterword: 癸未, 跋.;; 木板本.;; 四周雙邊 半郭 20.3 × 13.9 cm.;; 10行19字.;; 上下2葉花紋魚尾; 30.5 × 19.5 cm.;; 疑禮問解續(1卷1冊).;; 序: 歲舍丙戌(1646)...金尙憲.;; 跋: 歲舍癸未(1643)...申翊聖.",5 v. (double leaves) in case ;$$c31 cm.,n,n,n,y,y,1703.0,1703.0,http://nrs.harvard.edu/urn-3:FHCL:12168180,TK/668/8172,4900410
HYLRarebooks_65,HYLRarebooks,周易諺解.,,"時間:哲宗 13 (1862),地點:Korea ,出版者:s.n.",朝鮮漢籍,"Imprint: 嶺營重刊, 壬戌.;; 9卷.;; 木板本.;; 四周雙邊 半郭 22.9 × 16.4 cm.;; 12行23字.;; 上黑魚尾 32.0 × 21.0 cm.",5 v. (double leaves) in case ;$$c32 cm.,n,n,n,y,y,1862.0,1862.0,http://nrs.harvard.edu/urn-3:FHCL:12125300,TK/239/7602,4900467
HYLRarebooks_66,HYLRarebooks,繡像三國志全傳 ,羅貫中著.,"時間:嘉慶7 (1802).,地點:China ,出版者:s.n.",經部，史部,"""大清嘉慶7年新鐫""",6 v. :$$bill. ;$$c26 cm.,n,n,n,y,y,1802.0,1802.0,http://nrs.harvard.edu/urn-3:FHCL:12125300,TK/239/7602,4900467
HYLRarebooks_67,HYLRarebooks,孝經諺解.,橋本彰美.,"時間:明治28 (1895),地點:Korea ,出版者:s.n.",朝鮮漢籍,"Ms by 橋本彰美.;; ""高宗 32 [1895]."";; 筆寫本.",[18] double leaves ;$$c25 cm.,n,n,n,y,y,1895.0,1895.0,http://nrs.harvard.edu/urn-3:FHCL:8879262,TK/818/4420,4904608
HYLRarebooks_68,HYLRarebooks,經義記聞錄 ,韓元震撰.,"時間:景宗 2 (1722),地點:Korea ,出版者:s.n.",朝鮮漢籍,"Added title: 南塘經義記聞錄.;; As told by 南江先生權尚夏.;; Imprint date from afterword: 壬寅, 跋.;; 6卷.;; 木板本.;; 10行20字.;; 上白魚尾; 28.3 × 18.8 cm.;; 序: 乙未…韓元震.;; 跋: 丙寅(1722)…[韓]元震.;; 四周雙邊 半郭 20.4 × 14.5 cm.",4 v. (double leaves) in case ;$$c29 cm.,n,n,n,y,y,1722.0,1722.0,http://nrs.harvard.edu/urn-3:FHCL:11318550,TK/157/4511,4908675
HYLRarebooks_69,HYLRarebooks,繡像三國志全傳 ,羅貫中著.,"時間:嘉慶7 (1802).,地點:China ,出版者:s.n.",經部，史部,"At head of title: ""金聖嘆先生評定""",6 v. :$$bill. ;$$c26 cm.,n,n,n,y,y,1802.0,1802.0,http://nrs.harvard.edu/urn-3:FHCL:11318550,TK/157/4511,4908675
